City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Constitucion,CL,-35.3333,-72.4167,64.17,65,100,6.73,overcast clouds
80,Bengkulu,ID,-3.8004,102.2655,74.77,90,100,3.87,overcast clouds
81,Salalah,OM,17.0151,54.0924,82.4,78,0,3.44,clear sky
82,Wainwright,CA,52.839,-110.8572,37.4,52,100,12.66,overcast clouds
83,Barra Do Garcas,BR,-15.89,-52.2567,91.4,46,20,2.3,few clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,78.01,68,75,9.22,broken clouds
85,Baraboo,US,43.4711,-89.7443,57.2,30,75,12.66,broken clouds
86,Moroto,UG,2.5345,34.6666,74.26,56,98,22.46,light rain
87,Turukhansk,RU,65.8167,87.9833,11.64,82,100,13.51,overcast clouds
88,Provideniya,RU,64.3833,-173.3,28.22,88,100,3.04,overcast clouds
89,Cam Ranh,VN,11.9214,109.1591,78.8,89,20,2.3,few clouds
90,Husavik,IS,66.0449,-17.3389,41.0,60,75,13.8,broken clouds
91,Te Anau,NZ,-45.4167,167.7167,51.91,85,100,6.76,overcast clouds
92,Dhidhdhoo,MV,6.8833,73.1,84.52,71,62,7.29,broken clouds
93,Yellowknife,CA,62.456,-114.3525,37.0,64,20,11.5,few clouds
94,Samarai,PG,-10.6167,150.6667,82.45,78,100,13.22,overcast clouds
95,Pathardi,IN,19.1667,75.1833,86.81,25,9,16.55,clear sky
96,Pitimbu,BR,-7.4706,-34.8086,82.4,89,75,11.5,broken clouds
97,Huambo,AO,-12.7761,15.7392,66.33,66,100,3.42,overcast clouds
98,Severo-Kurilsk,RU,50.6789,156.125,34.41,90,100,24.27,overcast clouds
99,Bambous Virieux,MU,-20.3428,57.7575,77.0,100,75,11.5,moderate rain
100,San Ramon,US,37.7799,-121.978,81.0,21,1,3.44,clear sky
101,Longyearbyen,SJ,78.2186,15.6401,30.2,74,75,5.75,broken clouds
102,Yasugi,JP,35.4333,133.25,42.8,93,20,4.61,few clouds
103,Rumoi,JP,43.9344,141.6428,36.81,97,100,7.9,heavy intensity rain
104,Vardo,NO,70.3705,31.1107,37.4,70,0,9.22,clear sky
105,Malakal,SS,9.5334,31.6605,93.79,12,90,4.68,overcast clouds
106,Kropotkin,RU,45.4375,40.5756,50.0,96,98,5.5,overcast clouds
107,Hambantota,LK,6.1241,81.1185,78.8,94,21,4.61,few clouds
108,Junin,AR,-34.5838,-60.9433,82.99,23,96,10.22,overcast clouds
109,Luena,AO,-11.7833,19.9167,66.88,66,98,4.65,overcast clouds
