City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Presidencia Roque Saenz Pena,AR,87.01,clear sky,-26.7852,-60.4388,Hotel Gualok
367,Beruwala,LK,80.11,broken clouds,6.4788,79.9828,The Palms Hotel
371,Sao Joao Da Barra,BR,86.0,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
376,Palauig,PH,79.56,overcast clouds,15.435,119.9045,Myhousebythesea
378,San Lorenzo,PY,87.8,scattered clouds,-25.3333,-57.5333,Hotel del Sur
381,Cameta,BR,80.6,overcast clouds,-2.2444,-49.4958,Hotel San Juan
382,Chodavaram,IN,80.28,few clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
383,San Joaquin,US,79.0,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
385,San Juan,AR,84.99,overcast clouds,-31.5375,-68.5364,Hotel Provincial
394,Puerto Colombia,CO,75.2,broken clouds,10.9878,-74.9547,Hotel El Emigrante
395,Salaga,GH,86.83,broken clouds,8.5508,-0.5188,Bore Nada Guest House
398,Patterson,US,78.01,clear sky,37.4716,-121.1297,Best Western Plus Villa Del Lago Inn
401,Eydhafushi,MV,84.24,overcast clouds,5.1033,73.0708,Soneva Fushi
403,Jalali,IN,81.25,clear sky,27.8667,78.2667,नगला खुमी
404,Quelimane,MZ,75.2,few clouds,-17.8786,36.8883,Hotel Flamingo
408,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
411,Kampot,KH,78.8,moderate rain,10.6167,104.1833,Two Moons Hotel
413,West Bay,KY,86.0,few clouds,19.3667,-81.4167,Calypso Cove
414,Emilio Carranza,MX,75.29,scattered clouds,19.9711,-96.6114,casa carranza
418,Kavaratti,IN,84.02,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
